active|birthdate|country|draftNumber|draftRound|draftYear|familyName|fromYear|givenName|greatest75|hasPlayedDLeague|hasPlayedGames|hasPlayedNba|height|id|jerseyNumber|playerCode|position|school|seasonsExperience|slug|teamId|toYear|weight
true|1986-02-22T06:00:00.000Z|USA|21|1|2006-01-01T00:00:00.000Z|Rondo|2006-01-01T00:00:00.000Z|Rajon|false|false|true|true|73|200765|1|rajon_rondo|Guard|Kentucky|15|rajon-rondo|1610612739|2021-01-01T00:00:00.000Z|180
true|1986-03-25T06:00:00.000Z|USA|24|1|2006-01-01T00:00:00.000Z|Lowry|2006-01-01T00:00:00.000Z|Kyle|false|false|true|true|72|200768|7|kyle_lowry|Guard|Villanova|15|kyle-lowry|1610612748|2021-01-01T00:00:00.000Z|196
true|1985-05-05T05:00:00.000Z|USA|35|2|2006-01-01T00:00:00.000Z|Tucker|2006-01-01T00:00:00.000Z|P.J.|false|true|true|true|77|200782|17|pj_tucker|Forward|Texas-Austin|10|pj-tucker|1610612748|2021-01-01T00:00:00.000Z|245
true|1985-02-10T06:00:00.000Z|USA|47|2|2006-01-01T00:00:00.000Z|Millsap|2006-01-01T00:00:00.000Z|Paul|false|false|true|true|79|200794|8|paul_millsap|Forward|Louisiana Tech|15|paul-millsap|1610612755|2021-01-01T00:00:00.000Z|257
true|1988-09-29T05:00:00.000Z|USA|2|1|2007-01-01T00:00:00.000Z|Durant|2007-01-01T00:00:00.000Z|Kevin|true|false|true|true|82|201142|7|kevin_durant|Forward|Texas-Austin|13|kevin-durant|1610612751|2021-01-01T00:00:00.000Z|240
true|1986-06-03T05:00:00.000Z|Dominican Republic|3|1|2007-01-01T00:00:00.000Z|Horford|2007-01-01T00:00:00.000Z|Al|false|false|true|true|81|201143|42|al_horford|Center-Forward|Florida|14|al-horford|1610612738|2021-01-01T00:00:00.000Z|240
true|1987-10-11T05:00:00.000Z|USA|4|1|2007-01-01T00:00:00.000Z|Conley|2007-01-01T00:00:00.000Z|Mike|false|false|true|true|73|201144|11|mike_conley|Guard|Ohio State|14|mike-conley|1610612762|2021-01-01T00:00:00.000Z|175
true|1986-08-28T05:00:00.000Z|USA|5|1|2007-01-01T00:00:00.000Z|Green|2007-01-01T00:00:00.000Z|Jeff|false|false|true|true|80|201145|32|jeff_green|Forward|Georgetown|13|jeff-green|1610612743|2021-01-01T00:00:00.000Z|235
true|1988-06-21T05:00:00.000Z|USA|12|1|2007-01-01T00:00:00.000Z|Young|2007-01-01T00:00:00.000Z|Thaddeus|false|false|true|true|80|201152|30|thaddeus_young|Forward|Georgia Tech|14|thaddeus-young|1610612761|2021-01-01T00:00:00.000Z|235
true|1988-10-04T05:00:00.000Z|USA|1|1|2008-01-01T00:00:00.000Z|Rose|2008-01-01T00:00:00.000Z|Derrick|false|false|true|true|74|201565|4|derrick_rose|Guard|Memphis|12|derrick-rose|1610612752|2021-01-01T00:00:00.000Z|200
true|1988-11-12T06:00:00.000Z|USA|4|1|2008-01-01T00:00:00.000Z|Westbrook|2008-01-01T00:00:00.000Z|Russell|true|false|true|true|75|201566|0|russell_westbrook|Guard|UCLA|13|russell-westbrook|1610612747|2021-01-01T00:00:00.000Z|200
true|1988-09-07T05:00:00.000Z|USA|5|1|2008-01-01T00:00:00.000Z|Love|2008-01-01T00:00:00.000Z|Kevin|false|false|true|true|80|201567|0|kevin_love|Forward-Center|UCLA|13|kevin-love|1610612739|2021-01-01T00:00:00.000Z|251
true|1988-08-08T05:00:00.000Z|Italy|6|1|2008-01-01T00:00:00.000Z|Gallinari|2008-01-01T00:00:00.000Z|Danilo|false|false|true|true|82|201568|8|danilo_gallinari|Forward|Olimpia Milano|12|danilo-gallinari|1610612737|2021-01-01T00:00:00.000Z|236
true|1988-12-25T06:00:00.000Z|USA|7|1|2008-01-01T00:00:00.000Z|Gordon|2008-01-01T00:00:00.000Z|Eric|false|false|true|true|75|201569|10|eric_gordon|Guard|Indiana|13|eric-gordon|1610612745|2021-01-01T00:00:00.000Z|215
true|1988-04-01T06:00:00.000Z|USA|10|1|2008-01-01T00:00:00.000Z|Lopez|2008-01-01T00:00:00.000Z|Brook|false|false|true|true|84|201572|11|brook_lopez|Center|Stanford|13|brook-lopez|1610612749|2021-01-01T00:00:00.000Z|282
true|1988-04-01T06:00:00.000Z|USA|15|1|2008-01-01T00:00:00.000Z|Lopez|2008-01-01T00:00:00.000Z|Robin|false|false|true|true|84|201577|33|robin_lopez|Center|Stanford|13|robin-lopez|1610612753|2021-01-01T00:00:00.000Z|281
true|1988-01-19T06:00:00.000Z|USA|18|1|2008-01-01T00:00:00.000Z|McGee|2008-01-01T00:00:00.000Z|JaVale|false|false|true|true|84|201580|0|javale_mcgee|Center-Forward|Nevada-Reno|13|javale-mcgee|1610612756|2021-01-01T00:00:00.000Z|270
true|1989-09-18T05:00:00.000Z|Republic of the Congo|24|1|2008-01-01T00:00:00.000Z|Ibaka|2009-01-01T00:00:00.000Z|Serge|false|true|true|true|82|201586|25|serge_ibaka|Forward|Ricoh Manresa|12|serge-ibaka|1610612749|2021-01-01T00:00:00.000Z|235
true|1988-12-14T06:00:00.000Z|France|25|1|2008-01-01T00:00:00.000Z|Batum|2008-01-01T00:00:00.000Z|Nicolas|false|false|true|true|80|201587|33|nicolas_batum|Guard-Forward|Le Mans|13|nicolas-batum|1610612746|2021-01-01T00:00:00.000Z|230
true|1986-05-04T05:00:00.000Z|USA|26|1|2008-01-01T00:00:00.000Z|Hill|2008-01-01T00:00:00.000Z|George|false|false|true|true|76|201588|3|george_hill|Guard|Indiana-Purdue Indianapolis|13|george-hill|1610612749|2021-01-01T00:00:00.000Z|188
true|1988-07-21T05:00:00.000Z|USA|35|2|2008-01-01T00:00:00.000Z|Jordan|2008-01-01T00:00:00.000Z|DeAndre|false|false|true|true|83|201599|10|deandre_jordan|Center|Texas A&M|13|deandre-jordan|1610612747|2021-01-01T00:00:00.000Z|265
true|1989-03-16T06:00:00.000Z|USA|1|1|2009-01-01T00:00:00.000Z|Griffin|2009-01-01T00:00:00.000Z|Blake|false|false|true|true|81|201933|2|blake_griffin|Forward|Oklahoma|11|blake-griffin|1610612751|2021-01-01T00:00:00.000Z|250
true|1989-08-26T05:00:00.000Z|USA|3|1|2009-01-01T00:00:00.000Z|Harden|2009-01-01T00:00:00.000Z|James|true|false|true|true|77|201935|13|james_harden|Guard|Arizona State|12|james-harden|1610612755|2021-01-01T00:00:00.000Z|220
true|1990-10-21T05:00:00.000Z|Spain|5|1|2009-01-01T00:00:00.000Z|Rubio|2011-01-01T00:00:00.000Z|Ricky|false|false|true|true|74|201937|99|ricky_rubio|Guard|FC Barcelona|10|ricky-rubio|1610612754|2021-01-01T00:00:00.000Z|190
true|1988-03-14T06:00:00.000Z|USA|7|1|2009-01-01T00:00:00.000Z|Curry|2009-01-01T00:00:00.000Z|Stephen|true|false|true|true|74|201939|30|stephen_curry|Guard|Davidson|12|stephen-curry|1610612744|2021-01-01T00:00:00.000Z|185
true|1989-08-07T05:00:00.000Z|USA|9|1|2009-01-01T00:00:00.000Z|DeRozan|2009-01-01T00:00:00.000Z|DeMar|false|false|true|true|78|201942|11|demar_derozan|Guard-Forward|Southern California|12|demar-derozan|1610612741|2021-01-01T00:00:00.000Z|220
true|1987-02-20T06:00:00.000Z|USA|16|1|2009-01-01T00:00:00.000Z|Johnson|2009-01-01T00:00:00.000Z|James|false|true|true|true|79|201949|16|james_johnson|Forward|Wake Forest|12|james-johnson|1610612751|2021-01-01T00:00:00.000Z|240
true|1990-06-12T05:00:00.000Z|USA|17|1|2009-01-01T00:00:00.000Z|Holiday|2009-01-01T00:00:00.000Z|Jrue|false|false|true|true|75|201950|21|jrue_holiday|Guard|UCLA|12|jrue-holiday|1610612749|2021-01-01T00:00:00.000Z|205
true|1985-06-24T05:00:00.000Z|USA|26|1|2009-01-01T00:00:00.000Z|Gibson|2009-01-01T00:00:00.000Z|Taj|false|false|true|true|81|201959|67|taj_gibson|Forward|Southern California|12|taj-gibson|1610612752|2021-01-01T00:00:00.000Z|232
true|1987-11-29T06:00:00.000Z|USA|28|1|2009-01-01T00:00:00.000Z|Ellington|2009-01-01T00:00:00.000Z|Wayne|false|false|true|true|76|201961|2|wayne_ellington|Guard|North Carolina|12|wayne-ellington|1610612747|2021-01-01T00:00:00.000Z|207
true|1988-07-12T05:00:00.000Z|USA|42|2|2009-01-01T00:00:00.000Z|Beverley|2012-01-01T00:00:00.000Z|Patrick|false|true|true|true|73|201976|22|patrick_beverley|Guard|Arkansas|9|patrick-beverley|1610612750|2021-01-01T00:00:00.000Z|180
true|1987-06-22T05:00:00.000Z|USA|46|2|2009-01-01T00:00:00.000Z|Green|2009-01-01T00:00:00.000Z|Danny|false|true|true|true|78|201980|14|danny_green|Guard|North Carolina|12|danny-green|1610612755|2021-01-01T00:00:00.000Z|215
true|1988-08-11T05:00:00.000Z|Australia|55|2|2009-01-01T00:00:00.000Z|Mills|2009-01-01T00:00:00.000Z|Patty|false|true|true|true|72|201988|8|patty_mills|Guard|St.Mary's College of California|12|patty-mills|1610612751|2021-01-01T00:00:00.000Z|180
true|1986-05-08T05:00:00.000Z|USA||||Temple|2009-01-01T00:00:00.000Z|Garrett|false|true|true|true|77|202066|41|garrett_temple|Guard-Forward|Louisiana State|11|garrett-temple|1610612740|2021-01-01T00:00:00.000Z|195
true|1986-10-14T05:00:00.000Z|USA||||Matthews|2009-01-01T00:00:00.000Z|Wesley|false|false|true|true|76|202083|23|wesley_matthews|Guard|Marquette|12|wesley-matthews|1610612749|2021-01-01T00:00:00.000Z|220
true|1990-09-06T05:00:00.000Z|USA|1|1|2010-01-01T00:00:00.000Z|Wall|2010-01-01T00:00:00.000Z|John|false|false|true|true|75|202322|1|john_wall|Guard|Kentucky|10|john-wall|1610612745|2021-01-01T00:00:00.000Z|210
true|1991-07-15T05:00:00.000Z|USA|3|1|2010-01-01T00:00:00.000Z|Favors|2010-01-01T00:00:00.000Z|Derrick|false|false|true|true|81|202324|15|derrick_favors|Forward|Georgia Tech|11|derrick-favors|1610612760|2021-01-01T00:00:00.000Z|265
true|1990-03-23T06:00:00.000Z|USA|9|1|2010-01-01T00:00:00.000Z|Hayward|2010-01-01T00:00:00.000Z|Gordon|false|false|true|true|79|202330|20|gordon_hayward|Forward|Butler|11|gordon-hayward|1610612766|2021-01-01T00:00:00.000Z|225
true|1990-05-02T05:00:00.000Z|USA|10|1|2010-01-01T00:00:00.000Z|George|2010-01-01T00:00:00.000Z|Paul|false|false|true|true|80|202331|13|paul_george|Forward|Fresno State|11|paul-george|1610612746|2021-01-01T00:00:00.000Z|220
true|1989-06-05T05:00:00.000Z|USA|13|1|2010-01-01T00:00:00.000Z|Davis|2010-01-01T00:00:00.000Z|Ed|false|true|true|true|81|202334|21|ed_davis|Center-Forward|North Carolina|11|ed-davis|1610612739|2021-01-01T00:00:00.000Z|218
true|1989-12-09T06:00:00.000Z|USA|18|1|2010-01-01T00:00:00.000Z|Bledsoe|2010-01-01T00:00:00.000Z|Eric|false|true|true|true|73|202339|12|eric_bledsoe|Guard|Kentucky|11|eric-bledsoe|1610612757|2021-01-01T00:00:00.000Z|214
true|1990-11-26T06:00:00.000Z|USA|19|1|2010-01-01T00:00:00.000Z|Bradley|2010-01-01T00:00:00.000Z|Avery|false|true|true|true|75|202340|20|avery_bradley|Guard|Texas-Austin|11|avery-bradley|1610612747|2021-01-01T00:00:00.000Z|180
true|1989-06-13T05:00:00.000Z|USA|33|2|2010-01-01T00:00:00.000Z|Whiteside|2010-01-01T00:00:00.000Z|Hassan|false|true|true|true|84|202355|21|hassan_whiteside|Center|Marshall|9|hassan-whiteside|1610612762|2021-01-01T00:00:00.000Z|265
true|1988-05-09T05:00:00.000Z|Serbia|35|2|2010-01-01T00:00:00.000Z|Bjelica|2015-01-01T00:00:00.000Z|Nemanja|false|false|true|true|81|202357|8|nemanja_bjelica|Forward|Fenerbahce|6|nemanja-bjelica|1610612744|2021-01-01T00:00:00.000Z|234
true|1990-09-05T05:00:00.000Z|USA|40|2|2010-01-01T00:00:00.000Z|Stephenson|2010-01-01T00:00:00.000Z|Lance|false|true|true|true|77|202362|6|lance_stephenson|Forward|Cincinnati|9|lance-stephenson|1610612754|2021-01-01T00:00:00.000Z|210
true|1988-07-05T05:00:00.000Z|USA||||Smith|2010-01-01T00:00:00.000Z|Ish|false|true|true|true|72|202397|10|ish_smith|Guard|Wake Forest|11|ish-smith|1610612764|2021-01-01T00:00:00.000Z|175
true|1992-03-23T06:00:00.000Z|Australia|1|1|2011-01-01T00:00:00.000Z|Irving|2011-01-01T00:00:00.000Z|Kyrie|false|false|true|true|74|202681|11|kyrie_irving|Guard|Duke|10|kyrie-irving|1610612751|2021-01-01T00:00:00.000Z|195
true|1992-05-06T05:00:00.000Z|Lithuania|5|1|2011-01-01T00:00:00.000Z|Valanciunas|2012-01-01T00:00:00.000Z|Jonas|false|false|true|true|83|202685|17|jonas_valanciunas|Center|Lietuvos rytas Vilnius|9|jonas-valanciunas|1610612740|2021-01-01T00:00:00.000Z|265
true|1992-08-28T05:00:00.000Z|DRC|7|1|2011-01-01T00:00:00.000Z|Biyombo|2011-01-01T00:00:00.000Z|Bismack|false|false|true|true|80|202687|18|bismack_biyombo|Center|Baloncesto Fuenlabrada|10|bismack-biyombo|1610612756|2021-01-01T00:00:00.000Z|255
true|1990-05-08T05:00:00.000Z|USA|9|1|2011-01-01T00:00:00.000Z|Walker|2011-01-01T00:00:00.000Z|Kemba|false|false|true|true|72|202689|8|kemba_walker|Guard|Connecticut|10|kemba-walker|1610612752|2021-01-01T00:00:00.000Z|184
true|1990-02-08T06:00:00.000Z|USA|11|1|2011-01-01T00:00:00.000Z|Thompson|2011-01-01T00:00:00.000Z|Klay|false|false|true|true|78|202691|11|klay_thompson|Guard|Washington State|8|klay-thompson|1610612744|2021-01-01T00:00:00.000Z|220
true|1991-07-20T05:00:00.000Z|USA|12|1|2011-01-01T00:00:00.000Z|Burks|2011-01-01T00:00:00.000Z|Alec|false|true|true|true|78|202692|18|alec_burks|Guard|Colorado|10|alec-burks|1610612752|2021-01-01T00:00:00.000Z|214
true|1989-09-02T05:00:00.000Z|USA|13|1|2011-01-01T00:00:00.000Z|Morris|2011-01-01T00:00:00.000Z|Markieff|false|false|true|true|81|202693|8|markieff_morris|Forward|Kansas|10|markieff-morris|1610612748|2021-01-01T00:00:00.000Z|245
true|1989-09-02T05:00:00.000Z|USA|14|1|2011-01-01T00:00:00.000Z|Morris Sr.|2011-01-01T00:00:00.000Z|Marcus|false|true|true|true|80|202694|8|marcus_morris|Forward|Kansas|10|marcus-morris-sr|1610612746|2021-01-01T00:00:00.000Z|218
true|1991-06-29T05:00:00.000Z|USA|15|1|2011-01-01T00:00:00.000Z|Leonard|2011-01-01T00:00:00.000Z|Kawhi|true|false|true|true|79|202695|2|kawhi_leonard|Forward|San Diego State|10|kawhi-leonard|1610612746|2021-01-01T00:00:00.000Z|225
true|1990-10-24T05:00:00.000Z|Montenegro|16|1|2011-01-01T00:00:00.000Z|Vucevic|2011-01-01T00:00:00.000Z|Nikola|false|false|true|true|82|202696|9|nikola_vucevic|Center|Southern California|10|nikola-vucevic|1610612741|2021-01-01T00:00:00.000Z|260
true|1992-07-15T05:00:00.000Z|USA|19|1|2011-01-01T00:00:00.000Z|Harris|2011-01-01T00:00:00.000Z|Tobias|false|false|true|true|79|202699|12|tobias_harris|Forward|Tennessee|10|tobias-harris|1610612755|2021-01-01T00:00:00.000Z|226
true|1990-04-16T05:00:00.000Z|USA|24|1|2011-01-01T00:00:00.000Z|Jackson|2011-01-01T00:00:00.000Z|Reggie|false|true|true|true|74|202704|1|reggie_jackson|Guard|Boston College|10|reggie-jackson|1610612746|2021-01-01T00:00:00.000Z|208
true|1991-08-20T05:00:00.000Z|Canada|29|1|2011-01-01T00:00:00.000Z|Joseph|2011-01-01T00:00:00.000Z|Cory|false|true|true|true|75|202709|18|cory_joseph|Guard|Texas-Austin|10|cory-joseph|1610612765|2021-01-01T00:00:00.000Z|200
true|1989-09-14T05:00:00.000Z|USA|30|1|2011-01-01T00:00:00.000Z|Butler|2011-01-01T00:00:00.000Z|Jimmy|false|false|true|true|79|202710|22|jimmy_butler|Forward|Marquette|10|jimmy-butler|1610612748|2021-01-01T00:00:00.000Z|230
true|1989-04-18T05:00:00.000Z|Croatia|31|2|2011-01-01T00:00:00.000Z|Bogdanovic|2014-01-01T00:00:00.000Z|Bojan|false|false|true|true|79|202711|44|bojan_bogdanovic|Forward|Fenerbahce|7|bojan-bogdanovic|1610612762|2021-01-01T00:00:00.000Z|226
true|1992-11-12T06:00:00.000Z|Latvia|42|2|2011-01-01T00:00:00.000Z|Bertans|2016-01-01T00:00:00.000Z|Davis|false|true|true|true|82|202722|42|davis_bertans|Forward|Baskonia|5|davis-bertans|1610612742|2021-01-01T00:00:00.000Z|225
true|1993-03-11T06:00:00.000Z|USA|1|1|2012-01-01T00:00:00.000Z|Davis|2012-01-01T00:00:00.000Z|Anthony|true|false|true|true|82|203076|3|anthony_davis|Forward-Center|Kentucky|9|anthony-davis|1610612747|2021-01-01T00:00:00.000Z|253
true|1993-06-28T05:00:00.000Z|USA|3|1|2012-01-01T00:00:00.000Z|Beal|2012-01-01T00:00:00.000Z|Bradley|false|false|true|true|76|203078|3|bradley_beal|Guard|Florida|9|bradley-beal|1610612764|2021-01-01T00:00:00.000Z|207
true|1990-07-15T05:00:00.000Z|USA|6|1|2012-01-01T00:00:00.000Z|Lillard|2012-01-01T00:00:00.000Z|Damian|true|false|true|true|74|203081|0|damian_lillard|Guard|Weber State|9|damian-lillard|1610612757|2021-01-01T00:00:00.000Z|195
true|1991-02-05T06:00:00.000Z|USA|8|1|2012-01-01T00:00:00.000Z|Ross|2012-01-01T00:00:00.000Z|Terrence|false|false|true|true|78|203082|31|terrence_ross|Guard-Forward|Washington|9|terrence-ross|1610612753|2021-01-01T00:00:00.000Z|206
true|1993-08-10T05:00:00.000Z|USA|9|1|2012-01-01T00:00:00.000Z|Drummond|2012-01-01T00:00:00.000Z|Andre|false|false|true|true|82|203083|1|andre_drummond|Center|Connecticut|9|andre-drummond|1610612751|2021-01-01T00:00:00.000Z|279
true|1992-05-30T05:00:00.000Z|USA|7|1|2012-01-01T00:00:00.000Z|Barnes|2012-01-01T00:00:00.000Z|Harrison|false|false|true|true|80|203084|40|harrison_barnes|Forward|North Carolina|9|harrison-barnes|1610612758|2021-01-01T00:00:00.000Z|225
true|1992-08-01T05:00:00.000Z|USA|10|1|2012-01-01T00:00:00.000Z|Rivers|2012-01-01T00:00:00.000Z|Austin|false|false|true|true|76|203085|25|austin_rivers|Guard|Duke|9|austin-rivers|1610612743|2021-01-01T00:00:00.000Z|200
true|1992-05-30T05:00:00.000Z|USA|12|1|2012-01-01T00:00:00.000Z|Lamb|2012-01-01T00:00:00.000Z|Jeremy|false|true|true|true|77|203087|26|jeremy_lamb|Guard-Forward|Connecticut|9|jeremy-lamb|1610612758|2021-01-01T00:00:00.000Z|180
true|1993-05-11T05:00:00.000Z|USA|15|1|2012-01-01T00:00:00.000Z|Harkless|2012-01-01T00:00:00.000Z|Maurice|false|false|true|true|79|203090|8|maurice_harkless|Forward-Guard|St. John's|9|maurice-harkless|1610612758|2021-01-01T00:00:00.000Z|220
true|1992-10-29T06:00:00.000Z|France|20|1|2012-01-01T00:00:00.000Z|Fournier|2012-01-01T00:00:00.000Z|Evan|false|false|true|true|78|203095|13|evan_fournier|Guard-Forward|Poitiers Basket 86|9|evan-fournier|1610612752|2021-01-01T00:00:00.000Z|205
true|1991-10-30T06:00:00.000Z|Czech Republic|32|2|2012-01-01T00:00:00.000Z|Satoransky|2016-01-01T00:00:00.000Z|Tomas|false|false|true|true|79|203107|31|tomas_satoransky|Guard|FC Barcelona|5|tomas-satoransky|1610612759|2021-01-01T00:00:00.000Z|210
true|1990-07-06T05:00:00.000Z|USA|34|2|2012-01-01T00:00:00.000Z|Crowder|2012-01-01T00:00:00.000Z|Jae|false|true|true|true|78|203109|99|jae_crowder|Forward|Marquette|9|jae-crowder|1610612756|2021-01-01T00:00:00.000Z|235
true|1990-03-04T06:00:00.000Z|USA|35|2|2012-01-01T00:00:00.000Z|Green|2012-01-01T00:00:00.000Z|Draymond|false|false|true|true|78|203110|23|draymond_green|Forward|Michigan State|9|draymond-green|1610612744|2021-01-01T00:00:00.000Z|230
true|1991-08-12T05:00:00.000Z|USA|39|2|2012-01-01T00:00:00.000Z|Middleton|2012-01-01T00:00:00.000Z|Khris|false|true|true|true|79|203114|22|khris_middleton|Forward|Texas A&M|9|khris-middleton|1610612749|2021-01-01T00:00:00.000Z|222
true|1991-01-06T06:00:00.000Z|USA|40|2|2012-01-01T00:00:00.000Z|Barton|2012-01-01T00:00:00.000Z|Will|false|true|true|true|77|203115|5|will_barton|Guard|Memphis|9|will-barton|1610612743|2021-01-01T00:00:00.000Z|181
true|1989-07-01T05:00:00.000Z|USA||||Bazemore|2012-01-01T00:00:00.000Z|Kent|false|true|true|true|76|203145|9|kent_bazemore|Guard-Forward|Old Dominion|9|kent-bazemore|1610612747|2021-01-01T00:00:00.000Z|195
true|1989-04-05T05:00:00.000Z|USA||||Holiday|2012-01-01T00:00:00.000Z|Justin|false|true|true|true|78|203200|8|justin_holiday|Forward-Guard|Washington|8|justin-holiday|1610612758|2021-01-01T00:00:00.000Z|180
true|1990-06-21T05:00:00.000Z|USA||||Green|2014-01-01T00:00:00.000Z|JaMychal|false|true|true|true|80|203210|0|jamychal_green|Forward-Center|Alabama|7|jamychal-green|1610612743|2021-01-01T00:00:00.000Z|227
true|1994-04-10T05:00:00.000Z|USA|6|1|2013-01-01T00:00:00.000Z|Noel|2013-01-01T00:00:00.000Z|Nerlens|false|false|true|true|83|203457|3|nerlens_noel|Center-Forward|Kentucky|7|nerlens-noel|1610612752|2021-01-01T00:00:00.000Z|220
true|1993-06-16T05:00:00.000Z|Ukraine|5|1|2013-01-01T00:00:00.000Z|Len|2013-01-01T00:00:00.000Z|Alex|false|false|true|true|84|203458|25|alex_len|Center|Maryland|8|alex-len|1610612758|2021-01-01T00:00:00.000Z|250
true|1993-02-11T06:00:00.000Z|USA|7|1|2013-01-01T00:00:00.000Z|McLemore|2013-01-01T00:00:00.000Z|Ben|false|true|true|true|75|203463|23|ben_mclemore|Guard|Kansas|8|ben-mclemore|1610612757|2021-01-01T00:00:00.000Z|195
true|1991-09-19T05:00:00.000Z|USA|10|1|2013-01-01T00:00:00.000Z|McCollum|2013-01-01T00:00:00.000Z|CJ|false|true|true|true|75|203468|3|cj_mccollum|Guard|Lehigh|8|cj-mccollum|1610612740|2021-01-01T00:00:00.000Z|190
true|1993-09-15T05:00:00.000Z|Germany|17|1|2013-01-01T00:00:00.000Z|Schroder|2013-01-01T00:00:00.000Z|Dennis|false|true|true|true|73|203471|71|dennis_schroder|Guard|Braunschweig|8|dennis-schroder|1610612745|2021-01-01T00:00:00.000Z|172
true|1989-08-12T05:00:00.000Z|USA||||Dedmon|2013-01-01T00:00:00.000Z|Dewayne|false|true|true|true|84|203473|21|dewayne_dedmon|Center|Southern California|8|dewayne-dedmon|1610612748|2021-01-01T00:00:00.000Z|245
true|1990-01-18T06:00:00.000Z|Senegal|21|1|2013-01-01T00:00:00.000Z|Dieng|2013-01-01T00:00:00.000Z|Gorgui|false|false|true|true|82|203476|10|gorgui_dieng|Center|Louisville|8|gorgui-dieng|1610612737|2021-01-01T00:00:00.000Z|248
true|1991-04-19T05:00:00.000Z|Canada|13|1|2013-01-01T00:00:00.000Z|Olynyk|2013-01-01T00:00:00.000Z|Kelly|false|false|true|true|83|203482|13|kelly_olynyk|Forward-Center|Gonzaga|8|kelly-olynyk|1610612765|2021-01-01T00:00:00.000Z|240
true|1993-02-18T06:00:00.000Z|USA|8|1|2013-01-01T00:00:00.000Z|Caldwell-Pope|2013-01-01T00:00:00.000Z|Kentavious|false|false|true|true|77|203484|1|kentavious_caldwell-pope|Guard|Georgia|8|kentavious-caldwell-pope|1610612764|2021-01-01T00:00:00.000Z|204
true|1990-03-05T06:00:00.000Z|USA|22|1|2013-01-01T00:00:00.000Z|Plumlee|2013-01-01T00:00:00.000Z|Mason|false|false|true|true|83|203486|24|mason_plumlee|Forward-Center|Duke|8|mason-plumlee|1610612766|2021-01-01T00:00:00.000Z|254
true|1991-07-01T05:00:00.000Z|USA|44|2|2013-01-01T00:00:00.000Z|Muscala|2013-01-01T00:00:00.000Z|Mike|false|true|true|true|82|203488|33|mike_muscala|Forward-Center|Bucknell|8|mike-muscala|1610612760|2021-01-01T00:00:00.000Z|240
